,Train Accuracy,Valdiation Accuracy,Test Accuracy
Run 1,0.7749287749287749,0.76,0.7236842105263158
Run 2,0.8803418803418803,0.92,0.881578947368421
Run 3,0.9116809116809117,0.92,0.881578947368421
Run 4,0.8945868945868946,0.88,0.8421052631578947
Run 5,0.9373219373219374,0.9066666666666666,0.9078947368421053
