,Train,Test
Accuracy,0.9230769230769231,0.8133333333333334
Precision,0.9232694182645433,0.8279929577464789
Recall,0.9229395336753913,0.827186512118019
F1 Score,0.9230369425923971,0.827443741209564
Loss,0.22906047105789185,1.0805697441101074
