,Train Accuracy,Valdiation Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1 Score
Run 1,0.7094017094017094,0.6533333333333333,0.7368421052631579,0.7326164874551971,0.7286821705426356,0.7301136363636364
Run 2,0.5071225071225072,0.5333333333333333,0.4342105263157895,0.21710526315789475,0.5,0.30275229357798167
Run 3,0.7749287749287749,0.7466666666666667,0.7763157894736842,0.7838461538461539,0.7600422832980973,0.7645343539274649
Run 4,0.6695156695156695,0.6933333333333334,0.6973684210526315,0.7003205128205128,0.6761804087385483,0.6771929824561403
Run 5,0.5612535612535613,0.6133333333333333,0.5131578947368421,0.7357142857142858,0.5697674418604651,0.44283732910639984
