,Train,Validation,Test
Accuracy,0.7749287749287749,0.7763157894736842,0.7466666666666667
Precision,0.7759209841187191,0.7457264957264957,0.7838461538461539
Recall,0.7753296096642204,0.7464285714285714,0.7600422832980973
F1 Score,0.7748629886737304,0.7459440185416295,0.7645343539274649
Loss,0.3832896947860718,0.4022054672241211,0.7511928677558899
